"ID","PUNITIVO","SEXO","EDAD","IDEOLOGIA","VICTIMA","RELIGION","ANO"
14110154,"1","1",41,5,"0","1",2014
14110207,"1","0",40,6,"0","10",2014
14111187,"1","0",35,10,"0","5",2014
14110151,"1","0",52,6,"0","1",2014
14111382,"1","0",54,5,"1","1",2014
14110381,"1","1",34,5,"1","1",2014
14110508,"1","0",37,5,"0","5",2014
14110438,"1","0",38,5,"0","1",2014
14110205,"1","0",29,7,"1","1",2014
14111334,"1","0",35,6,"0","1",2014
14111299,"1","1",68,6,"0","1",2014
14110434,"1","1",31,9,"0","1",2014
14111388,"1","1",23,4,"0","1",2014
14111385,"0","1",49,2,"0","1",2014
14111182,"1","1",28,1,"0","5",2014
14110155,"0","1",21,6,"1","1",2014
14110152,"1","1",54,10,"1","1",2014
14110236,"0","1",38,6,"0","1",2014
14111324,"1","1",72,6,"0","1",2014
14111322,"0","1",40,5,"0","1",2014
14111342,"1","0",41,6,"0","1",2014
14110443,"0","1",20,8,"0","1",2014
14110156,"1","0",33,5,"0","1",2014
14110145,"0","1",41,4,"0","1",2014
14110146,"0","0",50,5,"0","1",2014
14110512,"1","0",71,5,"0","1",2014
14110209,"1","0",55,4,"1","5",2014
14110211,"1","0",23,4,"0","1",2014
14111302,"0","0",80,5,"0","1",2014
14110516,"1","0",29,5,"0","1",2014
14110375,"1","0",49,5,"0","1",2014
14110210,"0","1",49,5,"1","1",2014
14110150,"1","0",22,9,"0","1",2014
14110435,"1","1",29,7,"1","1",2014
14110096,"0","0",74,7,"0","1",2014
14111188,"0","0",65,5,"0","5",2014
14111181,"1","0",56,10,"0","5",2014
14110340,"1","1",53,5,"0","5",2014
14110086,"1","0",69,4,"0","1",2014
14110653,"1","1",33,8,"0","5",2014
14110148,"1","1",53,8,"1","1",2014
14110496,"1","1",44,7,"0","1",2014
14110433,"0","0",68,5,"0","1",2014
14111321,"1","0",22,5,"0","4",2014
14111329,"0","1",59,3,"0","1",2014
14110153,"1","0",24,5,"0","1",2014
14110436,"1","1",54,6,"0","5",2014
14110382,"1","1",64,5,"0","1",2014
14110440,"1","0",36,6,"0","1",2014
14110654,"1","0",65,7,"0","1",2014
14110092,"1","1",22,6,"0","1",2014
14110339,"0","1",50,4,"1","5",2014
14111303,"0","1",34,5,"0","1",2014
14110316,"1","1",60,10,"0","1",2014
14110214,"1","1",37,3,"1","10",2014
14110247,"1","1",78,5,"0","1",2014
14110332,"1","1",64,2,"0","1",2014
14110231,"1","0",66,10,"0","5",2014
14111306,"0","0",51,7,"0","2",2014
14110249,"0","0",27,4,"0","1",2014
14111335,"1","0",48,6,"0","1",2014
14110441,"1","0",53,2,"0","1",2014
14111338,"0","1",29,7,"0","4",2014
14111339,"0","0",56,9,"0","4",2014
14110509,"1","0",49,5,"0","1",2014
14110056,"0","0",40,4,"0","1",2014
14110227,"1","0",41,5,"0","5",2014
14110213,"0","0",41,5,"1","6",2014
14110658,"1","0",32,5,"0","1",2014
14110215,"1","1",47,5,"0","5",2014
14111381,"1","1",27,10,"0","1",2014
14111390,"1","0",37,5,"0","1",2014
14110085,"1","1",49,4,"0","1",2014
14110089,"0","1",40,3,"0","1",2014
14110225,"1","1",64,6,"0","1",2014
14110345,"1","1",48,8,"0","5",2014
14110442,"0","1",40,6,"0","1",2014
14110344,"0","1",64,8,"0","1",2014
14110359,"1","1",49,4,"0","1",2014
14110095,"1","1",60,5,"0","1",2014
14110088,"0","0",18,4,"0","1",2014
14110343,"1","1",41,10,"1","1",2014
14110093,"1","0",18,7,"0","2",2014
14110321,"1","0",27,7,"0","1",2014
14111240,"1","0",45,5,"0","1",2014
14110326,"1","0",36,2,"1","1",2014
14110629,"1","1",25,5,"1","1",2014
14111330,"0","1",26,1,"1","1",2014
14111242,"1","1",32,6,"1","1",2014
14111177,"1","0",26,10,"0","5",2014
14110349,"1","0",35,5,"0","1",2014
14110495,"1","0",19,4,"0","1",2014
14110239,"1","1",70,9,"0","1",2014
14110329,"1","1",20,3,"0","1",2014
14110330,"1","1",40,2,"0","1",2014
14110357,"1","1",20,3,"0","1",2014
14110394,"1","1",33,4,"0","4",2014
14110385,"1","0",36,9,"0","1",2014
14110628,"1","1",32,1,"0","1",2014
14111337,"0","1",68,6,"0","1",2014
14110320,"0","0",40,6,"0","1",2014
14110242,"0","1",51,5,"1","1",2014
14110390,"1","1",32,10,"0","1",2014
14110049,"1","0",50,8,"0","1",2014
14110012,"1","1",64,7,"0","1",2014
14110347,"1","0",24,1,"0","1",2014
14110319,"0","1",55,4,"0","1",2014
14110324,"1","1",29,5,"0","1",2014
14110317,"1","0",70,9,"0","2",2014
14110342,"0","0",22,4,"0","5",2014
14110510,"0","0",18,7,"0","1",2014
14110386,"1","0",49,10,"1","1",2014
14110384,"1","1",22,4,"0","1",2014
14110346,"1","0",37,1,"0","1",2014
14110334,"1","0",19,4,"0","5",2014
14110657,"0","0",30,8,"0","1",2014
14110649,"1","1",79,10,"0","10",2014
14111402,"1","0",65,5,"0","5",2014
14110377,"1","1",42,6,"0","1",2014
14110003,"0","1",35,6,"0","1",2014
14110237,"1","0",29,4,"1","1",2014
14110224,"1","1",39,5,"0","1",2014
14110631,"1","0",31,5,"0","1",2014
14110634,"0","1",20,5,"0","5",2014
14110149,"0","1",21,5,"0","1",2014
14110186,"0","1",37,2,"0","4",2014
14110393,"0","0",34,1,"0","5",2014
14110331,"1","0",52,5,"1","1",2014
14110651,"1","0",24,10,"0","1",2014
14110228,"0","1",26,1,"0","1",2014
14110336,"1","0",25,5,"0","1",2014
14111307,"1","0",24,5,"1","1",2014
14110494,"0","1",33,5,"0","1",2014
14110087,"1","0",35,5,"0","1",2014
14110252,"1","1",24,5,"0","1",2014
14110636,"1","0",60,5,"0","1",2014
14111305,"1","0",45,3,"0","1",2014
14111183,"1","0",27,3,"0","5",2014
14111403,"1","0",34,5,"0","5",2014
14110389,"1","0",19,5,"1","5",2014
14110185,"0","1",27,6,"0","1",2014
14110325,"1","1",56,2,"0","1",2014
14110094,"1","0",44,1,"0","1",2014
14110183,"1","1",47,5,"0","1",2014
14110335,"1","1",36,2,"1","1",2014
14110514,"1","1",36,7,"0","1",2014
14110515,"0","0",31,5,"0","1",2014
14110439,"1","0",22,9,"1","1",2014
14110652,"1","0",30,7,"0","1",2014
14110221,"0","1",25,3,"1","1",2014
14110635,"0","1",63,5,"0","1",2014
14111186,"0","1",76,10,"1","1",2014
14110313,"1","1",39,9,"0","1",2014
14111246,"1","0",77,6,"0","1",2014
14110007,"0","0",49,5,"0","1",2014
14110655,"1","0",54,2,"0","1",2014
14110395,"1","0",46,5,"0","1",2014
14110352,"0","0",49,5,"0","1",2014
14110315,"1","0",44,3,"0","1",2014
14110004,"1","0",22,5,"0","1",2014
14110493,"0","0",54,9,"0","5",2014
14111394,"0","1",55,9,"0","1",2014
14111389,"0","1",51,8,"0","1",2014
14111178,"1","1",39,10,"1","5",2014
14111298,"0","1",32,3,"0","1",2014
14110050,"1","0",32,6,"0","1",2014
14110233,"1","1",28,4,"0","1",2014
14110059,"1","1",39,10,"0","1",2014
14111301,"0","1",28,7,"1","10",2014
14110090,"0","1",23,4,"0","1",2014
14110327,"1","0",20,5,"0","1",2014
14110229,"1","0",32,8,"0","1",2014
14111341,"1","1",26,7,"0","1",2014
14110053,"1","1",20,8,"1","1",2014
14111237,"1","0",30,2,"0","1",2014
14110008,"1","1",35,5,"0","1",2014
14110656,"1","1",22,5,"0","1",2014
14110011,"1","1",26,5,"0","1",2014
14110248,"1","0",34,4,"0","1",2014
14110437,"1","0",27,7,"0","1",2014
14111179,"1","1",56,8,"0","5",2014
14111400,"1","1",22,5,"0","1",2014
14110627,"0","1",63,1,"1","1",2014
14111347,"1","0",26,5,"0","1",2014
14110189,"1","1",21,5,"0","1",2014
14110333,"0","1",20,4,"1","5",2014
14110506,"1","1",34,8,"1","1",2014
14111297,"1","0",38,10,"1","1",2014
14111245,"1","0",37,6,"0","1",2014
14111331,"1","0",45,7,"0","1",2014
14110353,"1","1",48,7,"0","1",2014
14111401,"0","0",24,7,"0","1",2014
14111393,"1","0",23,8,"0","5",2014
14110323,"1","1",43,4,"0","1",2014
14111396,"0","1",24,5,"0","1",2014
14110504,"1","0",20,5,"0","5",2014
14111349,"0","1",21,6,"0","1",2014
14110220,"1","1",58,10,"1","5",2014
14111185,"0","1",32,5,"1","4",2014
14111241,"1","1",20,8,"0","1",2014
14110338,"1","1",22,4,"0","5",2014
14110060,"0","1",26,3,"0","1",2014
14111397,"1","1",43,8,"1","1",2014
14110328,"0","0",48,3,"0","1",2014
14110190,"0","1",35,4,"0","1",2014
14110217,"0","1",31,10,"1","5",2014
14110188,"1","0",22,9,"0","5",2014
14110356,"1","0",28,6,"0","1",2014
14110245,"1","1",26,5,"0","1",2014
14110051,"1","1",35,6,"1","10",2014
14111184,"0","1",21,8,"0","1",2014
14111248,"1","1",27,5,"1","4",2014
14110387,"1","1",18,3,"1","1",2014
14110633,"1","0",24,5,"0","1",2014
14110659,"1","1",45,4,"0","1",2014
14111300,"0","0",18,4,"1","1",2014
14110250,"1","1",38,5,"0","1",2014
14111336,"0","1",45,10,"0","1",2014
14110625,"0","0",24,2,"0","5",2014
14110240,"1","1",19,5,"0","1",2014
14110354,"1","1",37,8,"0","1",2014
14110388,"1","1",56,3,"1","1",2014
14110192,"0","0",53,4,"0","1",2014
14110632,"0","1",43,5,"0","1",2014
14111308,"1","1",29,5,"1","1",2014
14111352,"0","1",32,5,"1","2",2014
14111333,"0","0",22,9,"0","4",2014
14110350,"1","0",27,3,"0","4",2014
14111344,"0","0",26,6,"0","1",2014
14110318,"0","1",26,4,"0","1",2014
14110246,"0","1",42,5,"0","1",2014
14110181,"0","0",54,2,"0","1",2014
14111243,"0","1",49,4,"1","5",2014
14111239,"0","1",51,4,"0","1",2014
14110982,"1","1",19,5,"1","1",2014
14110108,"0","1",36,7,"0","6",2014
14110835,"0","0",75,4,"1","1",2014
14111056,"1","1",22,4,"1","1",2014
14110776,"1","0",68,5,"0","5",2014
14111274,"1","1",19,5,"0","1",2014
14110369,"1","0",37,3,"0","1",2014
14110896,"1","1",65,3,"0","1",2014
14110736,"1","1",48,5,"0","1",2014
14110859,"0","1",43,6,"1","1",2014
14111311,"1","1",34,5,"1","5",2014
14111379,"1","1",29,6,"1","1",2014
14110723,"1","0",43,7,"0","1",2014
14110884,"1","1",20,9,"1","2",2014
14110410,"1","1",40,8,"0","1",2014
14111457,"0","0",26,10,"0","1",2014
14110253,"1","1",63,7,"0","1",2014
14110543,"1","1",70,3,"0","5",2014
14110613,"0","0",23,3,"0","1",2014
14111273,"0","1",47,5,"1","1",2014
14111216,"0","1",60,2,"0","1",2014
14111107,"1","1",30,3,"1","1",2014
14110134,"1","0",69,9,"0","5",2014
14110808,"1","0",22,6,"0","1",2014
14110710,"0","0",26,4,"0","2",2014
14110694,"1","1",61,3,"1","1",2014
14110824,"1","0",22,5,"1","1",2014
14111106,"1","1",55,5,"0","1",2014
14110984,"0","0",33,8,"1","1",2014
14110712,"1","0",38,5,"1","1",2014
14111438,"0","0",42,7,"0","1",2014
14110800,"1","0",50,8,"0","1",2014
14110582,"0","1",23,2,"1","1",2014
14110684,"1","0",47,4,"0","1",2014
14110939,"1","1",56,5,"1","3",2014
14111035,"0","1",64,5,"1","1",2014
14110989,"0","0",30,3,"1","1",2014
14111028,"1","0",51,8,"0","5",2014
14111088,"1","1",25,4,"0","1",2014
14110920,"0","1",34,3,"0","1",2014
14110289,"1","1",21,8,"1","1",2014
14111101,"1","1",24,5,"0","2",2014
14111073,"0","0",20,5,"0","1",2014
14110914,"0","1",25,6,"1","1",2014
14110567,"1","1",26,6,"1","1",2014
14111206,"1","0",45,7,"0","1",2014
14110661,"0","0",46,4,"1","1",2014
14110569,"0","0",44,5,"0","1",2014
14110866,"1","0",31,6,"1","1",2014
14110361,"1","1",49,3,"1","1",2014
14110254,"1","0",71,8,"0","1",2014
14110623,"1","1",21,10,"0","1",2014
14110579,"1","0",38,8,"0","1",2014
14110988,"1","1",39,8,"1","1",2014
14110830,"0","0",56,7,"0","5",2014
14110163,"0","1",34,2,"0","1",2014
14110167,"0","0",52,1,"0","5",2014
14110738,"0","1",42,3,"1","5",2014
14110542,"1","1",28,3,"0","1",2014
14110138,"1","1",25,6,"0","6",2014
14110992,"1","1",27,3,"1","10",2014
14110528,"1","1",40,6,"0","1",2014
14111200,"1","0",39,7,"0","1",2014
14110607,"1","0",33,5,"1","1",2014
14111053,"0","1",69,6,"0","1",2014
14111466,"0","0",21,5,"0","1",2014
14110991,"1","0",19,6,"1","2",2014
14110162,"0","1",54,5,"0","1",2014
14111151,"0","1",48,5,"1","1",2014
14110976,"1","1",53,4,"1","1",2014
14110671,"0","1",54,6,"0","1",2014
14110854,"0","1",25,5,"0","1",2014
14110885,"1","0",24,5,"0","1",2014
14110587,"1","0",63,10,"0","1",2014
14110372,"1","1",35,6,"0","1",2014
14111269,"0","1",21,7,"0","1",2014
14110686,"1","1",19,7,"1","5",2014
14110829,"1","1",39,6,"1","1",2014
14110013,"1","1",57,9,"0","1",2014
14110672,"0","0",42,5,"1","1",2014
14110255,"0","1",39,7,"1","1",2014
14111319,"1","0",46,4,"0","1",2014
14110036,"1","1",23,3,"1","1",2014
14110473,"1","1",22,5,"0","9",2014
14110893,"1","0",74,4,"0","1",2014
14110274,"1","0",36,3,"1","1",2014
14110599,"1","1",39,6,"1","1",2014
14111015,"1","1",24,5,"0","1",2014
14110967,"1","0",39,7,"0","1",2014
14111257,"1","1",28,5,"0","1",2014
14110101,"0","0",58,5,"1","1",2014
14110589,"1","0",40,10,"0","1",2014
14111271,"0","1",58,10,"0","1",2014
14111436,"1","1",71,8,"0","1",2014
14110588,"1","1",70,2,"0","1",2014
14111036,"1","0",41,5,"0","1",2014
14110171,"1","1",36,6,"0","1",2014
14111292,"1","0",68,6,"1","1",2014
14110026,"0","0",18,8,"0","1",2014
14110719,"0","0",53,8,"0","1",2014
14110949,"1","1",30,2,"0","1",2014
14110104,"1","0",59,5,"0","1",2014
14110860,"1","0",62,6,"0","1",2014
14110766,"1","0",41,5,"1","1",2014
14111425,"0","1",38,9,"0","5",2014
14111350,"1","0",35,1,"0","1",2014
14110957,"0","1",69,5,"0","1",2014
14111291,"1","0",40,5,"0","1",2014
14110102,"1","0",30,3,"0","1",2014
14110961,"1","0",25,9,"0","1",2014
14111220,"0","0",27,5,"0","1",2014
14110180,"0","0",46,9,"0","1",2014
14111361,"0","0",26,1,"0","1",2014
14110833,"1","0",26,3,"1","1",2014
14110041,"0","0",23,6,"1","5",2014
14110264,"1","1",19,5,"1","1",2014
14110740,"1","0",48,6,"1","1",2014
14110691,"1","0",38,6,"1","1",2014
14110962,"1","1",24,7,"0","1",2014
14110804,"0","0",18,4,"0","10",2014
14110266,"1","0",57,7,"0","1",2014
14110129,"1","0",50,8,"1","1",2014
14110803,"0","1",35,6,"0","1",2014
14110838,"0","0",21,5,"1","1",2014
14111454,"1","1",19,4,"1","1",2014
14110268,"0","1",26,5,"1","1",2014
14110526,"1","0",26,6,"0","1",2014
14110063,"1","0",51,7,"1","1",2014
14110047,"1","1",41,6,"0","5",2014
14110106,"1","0",40,7,"0","1",2014
14110299,"1","0",29,5,"0","1",2014
14110925,"0","1",40,8,"0","1",2014
14110916,"1","1",71,6,"0","1",2014
14111049,"1","1",57,8,"0","4",2014
14111017,"1","0",70,5,"1","9",2014
14111089,"1","0",46,7,"0","1",2014
14110897,"1","1",25,6,"0","1",2014
14111272,"1","0",19,3,"0","1",2014
14110034,"1","0",43,6,"0","1",2014
14111420,"0","0",50,5,"0","1",2014
14111481,"1","1",45,5,"0","1",2014
14110294,"0","0",38,8,"0","1",2014
14111042,"1","1",20,7,"0","2",2014
14111136,"0","0",21,6,"0","1",2014
14111052,"0","0",49,6,"0","1",2014
14110637,"1","0",26,3,"1","1",2014
14110458,"0","0",24,5,"1","5",2014
14110276,"0","1",24,7,"0","1",2014
14111282,"1","0",19,7,"1","1",2014
14110807,"0","1",33,7,"0","1",2014
14110995,"1","0",74,5,"1","1",2014
14111171,"1","0",32,5,"0","6",2014
14111148,"1","1",19,4,"1","1",2014
14111016,"1","0",20,5,"0","1",2014
14110421,"0","1",44,6,"0","1",2014
14110706,"1","0",41,7,"0","1",2014
14110717,"1","1",40,6,"0","1",2014
14110364,"0","0",27,4,"1","1",2014
14111497,"0","1",27,5,"1","5",2014
14111150,"0","0",53,5,"1","1",2014
14110787,"1","1",42,5,"0","5",2014
14111050,"1","0",81,5,"0","1",2014
14111095,"0","0",40,5,"0","1",2014
14110030,"0","1",28,4,"0","5",2014
14110619,"1","0",35,5,"0","1",2014
14110983,"1","0",52,5,"0","1",2014
14110302,"1","1",27,10,"0","1",2014
14110812,"1","0",46,1,"0","1",2014
14110887,"1","0",53,7,"1","1",2014
14111358,"0","1",49,1,"0","1",2014
14111013,"1","0",69,8,"0","1",2014
14111008,"1","0",19,5,"1","1",2014
14110305,"1","1",37,7,"0","2",2014
14110267,"0","0",36,5,"1","5",2014
14110801,"1","1",64,5,"0","1",2014
14110618,"0","1",31,6,"0","1",2014
14111086,"1","0",41,5,"0","1",2014
14110018,"1","1",40,5,"0","1",2014
14111069,"0","1",64,5,"0","1",2014
14110303,"1","0",40,3,"0","2",2014
14111221,"0","0",55,5,"1","5",2014
14110261,"1","0",42,2,"0","1",2014
14111449,"1","1",23,7,"0","4",2014
14110853,"1","0",23,5,"1","1",2014
14110780,"0","1",38,5,"1","1",2014
14110840,"0","1",27,6,"0","1",2014
14110196,"1","1",44,7,"1","1",2014
14111054,"1","0",25,6,"1","1",2014
14110647,"1","1",45,6,"0","1",2014
14110432,"1","0",57,10,"0","1",2014
14110279,"1","1",29,2,"1","1",2014
14110718,"1","0",43,7,"0","1",2014
14110447,"1","0",65,10,"0","1",2014
14110404,"1","0",35,10,"1","1",2014
14110481,"0","1",42,4,"1","5",2014
14110114,"1","1",49,7,"0","1",2014
14110080,"0","0",30,8,"1","1",2014
14110902,"1","0",36,6,"1","1",2014
14110662,"0","0",36,8,"1","1",2014
14110296,"1","0",68,8,"0","1",2014
14111201,"1","1",64,7,"0","1",2014
14110757,"1","1",33,1,"1","1",2014
14110366,"1","0",51,5,"1","5",2014
14110117,"1","0",39,7,"0","1",2014
14111287,"1","0",34,8,"1","1",2014
14110851,"1","1",57,7,"0","5",2014
14111140,"0","1",74,5,"0","1",2014
14111267,"0","0",49,7,"1","1",2014
14111129,"1","0",36,1,"0","4",2014
14110985,"1","1",27,5,"0","1",2014
14111091,"1","1",56,5,"0","1",2014
14110828,"1","1",66,7,"1","1",2014
14110969,"0","1",79,10,"1","1",2014
14110975,"1","0",46,9,"0","1",2014
14110115,"1","1",53,3,"0","1",2014
14110753,"0","0",73,5,"1","1",2014
14110128,"0","1",48,2,"0","1",2014
14111224,"1","1",42,5,"0","1",2014
14110558,"1","1",36,2,"0","1",2014
14110970,"1","0",25,7,"1","1",2014
14110918,"1","0",25,4,"1","1",2014
14110968,"1","1",22,1,"1","1",2014
14111370,"0","1",52,5,"1","1",2014
14110645,"0","0",28,4,"1","1",2014
14111376,"0","1",41,6,"0","1",2014
14111027,"0","1",60,5,"0","1",2014
14110290,"1","1",48,5,"0","1",2014
14110023,"1","1",31,4,"1","1",2014
14110602,"1","1",21,6,"0","2",2014
14111023,"0","0",20,6,"1","1",2014
14110669,"1","0",60,10,"0","1",2014
14110116,"1","1",34,4,"1","1",2014
14111156,"1","0",47,5,"1","1",2014
14110271,"1","0",20,4,"1","5",2014
14111115,"1","1",46,5,"0","1",2014
14111418,"0","0",19,6,"0","1",2014
14110958,"0","1",45,5,"1","1",2014
14111202,"1","0",56,5,"0","1",2014
14111452,"0","1",42,8,"0","1",2014
14111081,"1","0",25,6,"0","1",2014
14110460,"1","1",33,5,"0","1",2014
14111374,"1","0",45,5,"0","1",2014
14111421,"1","1",69,10,"1","1",2014
14110311,"1","1",31,4,"0","1",2014
14111378,"1","1",52,5,"0","1",2014
14111258,"1","1",66,8,"1","1",2014
14110048,"0","0",51,5,"0","10",2014
14110921,"0","1",22,3,"0","1",2014
14110861,"0","1",76,3,"0","1",2014
14110136,"1","0",26,5,"0","1",2014
14110894,"0","1",42,4,"0","1",2014
14111092,"1","1",41,7,"0","1",2014
14110690,"1","1",32,7,"0","1",2014
14110904,"1","1",28,3,"1","1",2014
14110794,"1","0",19,6,"0","1",2014
14110761,"1","1",51,5,"0","1",2014
14111213,"1","1",26,3,"1","1",2014
14110842,"0","1",60,6,"1","1",2014
14110021,"0","0",34,7,"0","1",2014
14111022,"1","1",45,6,"0","1",2014
14110733,"1","0",45,5,"1","5",2014
14111290,"1","1",52,6,"0","1",2014
14110903,"1","1",39,6,"0","1",2014
14110685,"1","0",41,4,"1","1",2014
14111217,"0","0",33,6,"0","5",2014
14110109,"1","1",29,5,"0","1",2014
14110297,"1","0",36,5,"0","5",2014
14111405,"0","0",24,5,"0","1",2014
14110278,"0","1",56,5,"0","1",2014
14110639,"1","0",61,9,"1","1",2014
14110400,"1","1",36,6,"1","5",2014
14110818,"1","0",54,5,"0","1",2014
14111118,"1","0",25,6,"1","5",2014
14110663,"1","1",75,5,"1","1",2014
14110951,"0","1",52,10,"0","1",2014
14110614,"1","1",82,10,"0","1",2014
14110846,"1","1",30,6,"0","1",2014
14110725,"1","1",20,1,"0","1",2014
14110797,"1","0",42,6,"1","1",2014
14111434,"1","1",36,7,"0","2",2014
14110557,"0","1",24,4,"0","1",2014
14111235,"1","0",74,8,"0","1",2014
14110159,"0","0",31,5,"0","5",2014
14110079,"1","0",37,8,"0","1",2014
14110288,"0","1",43,10,"0","9",2014
14110367,"1","0",55,4,"0","1",2014
14110917,"1","0",36,6,"0","1",2014
14110476,"0","0",19,6,"1","10",2014
14110069,"1","0",38,6,"1","1",2014
14110843,"1","0",57,6,"0","5",2014
14110608,"0","1",20,7,"0","1",2014
14111419,"1","1",23,7,"0","1",2014
14110201,"0","1",41,1,"0","1",2014
14110850,"1","0",23,5,"0","1",2014
14111097,"0","1",31,5,"0","1",2014
14110667,"0","0",30,5,"0","1",2014
14110033,"1","1",38,5,"1","5",2014
14110972,"1","1",45,1,"1","1",2014
14110078,"1","0",54,3,"0","1",2014
14110304,"1","1",52,4,"0","1",2014
14110624,"1","1",45,7,"1","1",2014
14111065,"1","1",19,8,"0","1",2014
14111161,"1","1",33,9,"0","1",2014
14111268,"0","1",44,7,"0","1",2014
14111030,"1","1",36,5,"1","1",2014
14110912,"0","1",65,6,"0","1",2014
14111485,"1","0",45,5,"0","2",2014
14110905,"0","0",29,7,"0","1",2014
14110987,"0","1",49,5,"1","1",2014
14110979,"1","1",31,1,"1","1",2014
14110841,"0","0",37,7,"1","1",2014
14110172,"1","0",45,5,"0","1",2014
14110577,"1","1",64,5,"0","1",2014
14110711,"1","0",69,9,"0","3",2014
14110773,"1","0",31,9,"1","1",2014
14111289,"1","1",44,5,"0","1",2014
14110622,"0","0",46,10,"0","1",2014
14111474,"0","1",27,2,"1","1",2014
14110751,"1","0",19,3,"1","2",2014
14111264,"1","0",38,5,"0","1",2014
14110177,"1","1",70,3,"0","1",2014
14111039,"1","0",29,6,"0","1",2014
14111499,"1","1",42,5,"1","6",2014
14111149,"1","0",22,6,"1","1",2014
14111169,"0","0",33,7,"0","1",2014
14110638,"1","1",62,5,"1","4",2014
14110583,"0","0",38,8,"0","1",2014
14111498,"0","1",65,8,"0","1",2014
14110517,"1","1",21,4,"0","1",2014
14111122,"1","0",52,5,"1","1",2014
14110868,"1","1",26,5,"0","1",2014
14110016,"1","0",31,5,"0","1",2014
14111038,"1","0",29,5,"1","1",2014
14110590,"1","0",21,2,"1","3",2014
